Dissolved_Oxygen,Temperature,pH,Plant_Type
9,12,6.8,"Cool, Neutral Stream with High Oxygen"
9.8,13.2,7.3,"Cool, Neutral Stream with High Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
9.2,12,7.3,"Cool, Neutral Stream with High Oxygen"
9.1,11.3,6.8,"Cool, Neutral Stream with High Oxygen"
9.8,12,6.8,"Cool, Neutral Stream with High Oxygen"
3.4,18,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.4,14,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.9,14,7.5,"Cool, Neutral Stream with High Oxygen"
5,16,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,12.7,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.6,14,7.5,"Cool, Neutral Stream with High Oxygen"
6,9,7.2,"Cold, Neutral River with Moderate Oxygen"
10.2,12,7,"Cool, Neutral Stream with High Oxygen"
9.6,11,7.5,"Cool, Neutral Stream with High Oxygen"
9,11,7.5,"Cool, Neutral Stream with High Oxygen"
9,10,7.5,"Cool, Neutral Stream with High Oxygen"
6,21,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
6,24,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,7,7,"Cold, Neutral River with Moderate Oxygen"
6,24,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,7.5,6.5,"Cold, Neutral River with Moderate Oxygen"
6,24,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
6,24,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
3,18.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,9,6.5,"Cold, Neutral River with Moderate Oxygen"
3,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,10,7,"Cold, Neutral River with Moderate Oxygen"
6,25,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
3,21,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
7,6,7,"Cold, Neutral River with Moderate Oxygen"
6,5,6.5,"Cold, Neutral River with Moderate Oxygen"
6,23,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,8,6.5,"Cold, Neutral River with Moderate Oxygen"
6,7.5,7,"Cold, Neutral River with Moderate Oxygen"
6,24.5,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,8,6,"Cool, Acidic River with Moderate Oxygen"
6,10,6.5,"Cold, Neutral River with Moderate Oxygen"
6,9,6.5,"Cold, Neutral River with Moderate Oxygen"
6,7,6.5,"Cold, Neutral River with Moderate Oxygen"
6,6,6.5,"Cold, Neutral River with Moderate Oxygen"
6,24,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,23,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,25,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
8.3,10,7,"Cool, Neutral Stream with High Oxygen"
8.4,12.5,7.5,"Cool, Neutral Stream with High Oxygen"
6.7,23.5,7,"Tropical, Neutral Lake with Moderate Oxygen"
6.8,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6.4,26,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7.8,23,7,"Hot, Neutral Pond with High Oxygen"
6.2,22.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
1.2,28,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
9.1,11.5,7.5,"Cool, Neutral Stream with High Oxygen"
10,10,6.8,"Cool, Neutral Stream with High Oxygen"
7.6,24,7,"Hot, Neutral Pond with High Oxygen"
10,25.5,6.8,"Hot, Neutral Pond with High Oxygen"
7.6,23,6.8,"Hot, Neutral Pond with High Oxygen"
10,20,7,"Hot, Neutral Pond with High Oxygen"
11,14,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9.2,29.4,7,"Hot, Neutral Pond with High Oxygen"
6.2,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
9.8,15,7.2,"Cool, Neutral Stream with High Oxygen"
7,24,7,"Tropical, Neutral Lake with Moderate Oxygen"
8.2,23,7.2,"Hot, Neutral Pond with High Oxygen"
10,12,6.8,"Cool, Neutral Stream with High Oxygen"
10,28,7,"Hot, Neutral Pond with High Oxygen"
8.1,10,7,"Cool, Neutral Stream with High Oxygen"
12,12,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10,14,7.5,"Cool, Neutral Stream with High Oxygen"
5.6,23.2,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
8.9,12.9,7.5,"Cool, Neutral Stream with High Oxygen"
6.4,5.3,7,"Cold, Neutral River with Moderate Oxygen"
7.8,21.7,7,"Hot, Neutral Pond with High Oxygen"
5.9,25.7,7,"Tropical, Neutral Lake with Moderate Oxygen"
7.2,24.1,7,"Hot, Neutral Pond with High Oxygen"
5.7,23.8,7,"Tropical, Neutral Lake with Moderate Oxygen"
8,10.1,7.5,"Cool, Neutral Stream with High Oxygen"
6.8,23.8,7,"Tropical, Neutral Lake with Moderate Oxygen"
6.9,24.4,7,"Tropical, Neutral Lake with Moderate Oxygen"
8.1,24.9,7,"Hot, Neutral Pond with High Oxygen"
7.2,21,7,"Hot, Neutral Pond with High Oxygen"
8,26.3,7,"Hot, Neutral Pond with High Oxygen"
5.8,21.3,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4.4,27.5,7,"Tropical, Neutral Lake with Moderate Oxygen"
9.6,12.3,7.5,"Cool, Neutral Stream with High Oxygen"
7,9.5,7,"Cold, Neutral River with Moderate Oxygen"
5.1,9.6,7,"Cold, Neutral River with Moderate Oxygen"
6.1,23.5,7,"Tropical, Neutral Lake with Moderate Oxygen"
11.5,11,7.5,"Cool, Neutral Stream with High Oxygen"
10.8,11,7.5,"Cool, Neutral Stream with High Oxygen"
11.3,11,7,"Cool, Neutral Stream with High Oxygen"
11.6,11,7,"Cool, Neutral Stream with High Oxygen"
10.3,11,7,"Cool, Neutral Stream with High Oxygen"
6.2,11,6,"Cool, Acidic River with Moderate Oxygen"
11.7,11,7,"Cool, Neutral Stream with High Oxygen"
10.2,11,7.5,"Cool, Neutral Stream with High Oxygen"
11.2,10,7,"Cool, Neutral Stream with High Oxygen"
10.8,11,7.5,"Cool, Neutral Stream with High Oxygen"
10.8,11,7.5,"Cool, Neutral Stream with High Oxygen"
10.6,11,7.5,"Cool, Neutral Stream with High Oxygen"
11.5,11,7.5,"Cool, Neutral Stream with High Oxygen"
10.9,10,7.5,"Cool, Neutral Stream with High Oxygen"
11.3,11,7,"Cool, Neutral Stream with High Oxygen"
10.5,10,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.7,10,7,"Cool, Neutral Stream with High Oxygen"
11.5,11,7.5,"Cool, Neutral Stream with High Oxygen"
10.4,11,7,"Cool, Neutral Stream with High Oxygen"
11.3,10,7,"Cool, Neutral Stream with High Oxygen"
10.9,11,7,"Cool, Neutral Stream with High Oxygen"
11.4,10,7,"Cool, Neutral Stream with High Oxygen"
6.9,10,7,"Cold, Neutral River with Moderate Oxygen"
10.6,11,7.5,"Cool, Neutral Stream with High Oxygen"
11.2,11,7.5,"Cool, Neutral Stream with High Oxygen"
11.2,11,7.5,"Cool, Neutral Stream with High Oxygen"
11.2,11,7.5,"Cool, Neutral Stream with High Oxygen"
10.7,11,7,"Cool, Neutral Stream with High Oxygen"
11.3,11,7.5,"Cool, Neutral Stream with High Oxygen"
10.7,10,7,"Cool, Neutral Stream with High Oxygen"
10.9,10,7,"Cool, Neutral Stream with High Oxygen"
10.3,10,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.7,11,7,"Cool, Neutral Stream with High Oxygen"
11.5,11,7.5,"Cool, Neutral Stream with High Oxygen"
11.3,10,7,"Cool, Neutral Stream with High Oxygen"
10.9,12,7,"Cool, Neutral Stream with High Oxygen"
11.5,10,7,"Cool, Neutral Stream with High Oxygen"
8.4,21,7,"Hot, Neutral Pond with High Oxygen"
9.7,14,7,"Cool, Neutral Stream with High Oxygen"
11.9,15,7,"Cool, Neutral Stream with High Oxygen"
10,15,7,"Cool, Neutral Stream with High Oxygen"
10,14,7,"Cool, Neutral Stream with High Oxygen"
9.9,10,7,"Cool, Neutral Stream with High Oxygen"
9.7,11,7,"Cool, Neutral Stream with High Oxygen"
10.1,12,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
8.7,15,7,"Cool, Neutral Stream with High Oxygen"
9.1,10.2,7.1,"Cool, Neutral Stream with High Oxygen"
11.3,11,7,"Cool, Neutral Stream with High Oxygen"
11.1,12,7,"Cool, Neutral Stream with High Oxygen"
11.3,12.1,7.1,"Cool, Neutral Stream with High Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
9.9,11,7,"Cool, Neutral Stream with High Oxygen"
11,13,7,"Cool, Neutral Stream with High Oxygen"
9.3,10.8,7.1,"Cool, Neutral Stream with High Oxygen"
7.4,20.2,7,"Hot, Neutral Pond with High Oxygen"
9.9,11,7,"Cool, Neutral Stream with High Oxygen"
9.7,11,7,"Cool, Neutral Stream with High Oxygen"
10.9,11.5,7,"Cool, Neutral Stream with High Oxygen"
8,12,6.8,"Cool, Neutral Stream with High Oxygen"
10,10,6.8,"Cool, Neutral Stream with High Oxygen"
10,11,6.8,"Cool, Neutral Stream with High Oxygen"
8,26,6.9,"Hot, Neutral Pond with High Oxygen"
10,22,7.2,"Hot, Neutral Pond with High Oxygen"
10,21,6.8,"Hot, Neutral Pond with High Oxygen"
10,23.5,6.8,"Hot, Neutral Pond with High Oxygen"
10,21,6.8,"Hot, Neutral Pond with High Oxygen"
10,27,6.8,"Hot, Neutral Pond with High Oxygen"
10,22,6.8,"Hot, Neutral Pond with High Oxygen"
10,10,7.2,"Cool, Neutral Stream with High Oxygen"
8,24,6.8,"Hot, Neutral Pond with High Oxygen"
8,27,6.8,"Hot, Neutral Pond with High Oxygen"
10,24,7,"Hot, Neutral Pond with High Oxygen"
10,13.4,6.8,"Cool, Neutral Stream with High Oxygen"
10,24,7.2,"Hot, Neutral Pond with High Oxygen"
8,28,6.8,"Hot, Neutral Pond with High Oxygen"
8,27,7.2,"Hot, Neutral Pond with High Oxygen"
8.2,26,6.8,"Hot, Neutral Pond with High Oxygen"
8,20,7.2,"Hot, Neutral Pond with High Oxygen"
10,28,6.8,"Hot, Neutral Pond with High Oxygen"
10,11,6.8,"Cool, Neutral Stream with High Oxygen"
10,15,6.8,"Cool, Neutral Stream with High Oxygen"
8,24.2,7,"Hot, Neutral Pond with High Oxygen"
10,21,7,"Hot, Neutral Pond with High Oxygen"
11,14,7,"Cool, Neutral Stream with High Oxygen"
9,21.3,7,"Hot, Neutral Pond with High Oxygen"
6,20.7,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
8,21,7,"Hot, Neutral Pond with High Oxygen"
9,11,7.2,"Cool, Neutral Stream with High Oxygen"
7,10,6.6,"Cold, Neutral River with Moderate Oxygen"
5.7,24,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,8.5,7,"Cold, Neutral River with Moderate Oxygen"
5,9,7,"Cold, Neutral River with Moderate Oxygen"
5.6,6,7,"Cold, Neutral River with Moderate Oxygen"
9,15,7,"Cool, Neutral Stream with High Oxygen"
6,13,6,"Cool, Acidic River with Moderate Oxygen"
5,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.2,23,7,"Tropical, Neutral Lake with Moderate Oxygen"
6.9,9,7,"Cold, Neutral River with Moderate Oxygen"
5.6,9,7,"Cold, Neutral River with Moderate Oxygen"
6,10,7,"Cold, Neutral River with Moderate Oxygen"
5.3,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
10,14,7,"Cool, Neutral Stream with High Oxygen"
5.5,23,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7.6,25,7.1,"Hot, Neutral Pond with High Oxygen"
7,6,7,"Cold, Neutral River with Moderate Oxygen"
7.3,21,7,"Hot, Neutral Pond with High Oxygen"
10.3,10.2,7,"Cool, Neutral Stream with High Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
5.4,10,6.5,"Cold, Neutral River with Moderate Oxygen"
4.9,17,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,11,6.9,"Cool, Neutral Stream with High Oxygen"
9.2,12.5,6.9,"Cool, Neutral Stream with High Oxygen"
9.4,11.6,6.8,"Cool, Neutral Stream with High Oxygen"
7.8,20,7,"Hot, Neutral Pond with High Oxygen"
7.2,20.8,7,"Hot, Neutral Pond with High Oxygen"
10.2,10,6.9,"Cool, Neutral Stream with High Oxygen"
8.8,15,6.8,"Cool, Neutral Stream with High Oxygen"
6,10,7,"Cold, Neutral River with Moderate Oxygen"
5.9,8.2,7,"Cold, Neutral River with Moderate Oxygen"
8,20,7,"Hot, Neutral Pond with High Oxygen"
10,13,7,"Cool, Neutral Stream with High Oxygen"
9,12,7,"Cool, Neutral Stream with High Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
10,13,7,"Cool, Neutral Stream with High Oxygen"
9,21.4,7,"Hot, Neutral Pond with High Oxygen"
7,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
9,11,7,"Cool, Neutral Stream with High Oxygen"
8,22,7,"Hot, Neutral Pond with High Oxygen"
8,15,7,"Cool, Neutral Stream with High Oxygen"
8,20,7,"Hot, Neutral Pond with High Oxygen"
10,11,7,"Cool, Neutral Stream with High Oxygen"
10,14,7,"Cool, Neutral Stream with High Oxygen"
7,10,7,"Cold, Neutral River with Moderate Oxygen"
8.5,24,7,"Hot, Neutral Pond with High Oxygen"
3.2,18.2,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,14,7,"Cool, Neutral Stream with High Oxygen"
2.3,19.7,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,12.5,7,"Cool, Neutral Stream with High Oxygen"
9,14,7,"Cool, Neutral Stream with High Oxygen"
8.8,12.6,7,"Cool, Neutral Stream with High Oxygen"
8.9,15,7,"Cool, Neutral Stream with High Oxygen"
8.9,21,7,"Hot, Neutral Pond with High Oxygen"
10,14.5,7,"Cool, Neutral Stream with High Oxygen"
10,14.3,7,"Cool, Neutral Stream with High Oxygen"
8.8,14,7,"Cool, Neutral Stream with High Oxygen"
9,15,7,"Cool, Neutral Stream with High Oxygen"
9.8,11,7.5,"Cool, Neutral Stream with High Oxygen"
9.6,10,7.2,"Cool, Neutral Stream with High Oxygen"
10.2,12,7,"Cool, Neutral Stream with High Oxygen"
9.8,10,7,"Cool, Neutral Stream with High Oxygen"
10.6,12,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.6,10.6,7,"Cool, Neutral Stream with High Oxygen"
11.4,11,7,"Cool, Neutral Stream with High Oxygen"
8.8,20,7,"Hot, Neutral Pond with High Oxygen"
10.4,10,7,"Cool, Neutral Stream with High Oxygen"
11,10,7,"Cool, Neutral Stream with High Oxygen"
10.4,12,7,"Cool, Neutral Stream with High Oxygen"
7,5,7,"Cold, Neutral River with Moderate Oxygen"
12,10,7,"Cool, Neutral Stream with High Oxygen"
9.2,14.5,7.5,"Cool, Neutral Stream with High Oxygen"
6.8,28,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
10,10,7.5,"Cool, Neutral Stream with High Oxygen"
9.2,15,7.5,"Cool, Neutral Stream with High Oxygen"
13.6,18.2,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
5.5,8.1,7,"Cold, Neutral River with Moderate Oxygen"
5,21.5,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
8,14,7,"Cool, Neutral Stream with High Oxygen"
7,8,7,"Cold, Neutral River with Moderate Oxygen"
7,5.1,7,"Cold, Neutral River with Moderate Oxygen"
8,22,7,"Hot, Neutral Pond with High Oxygen"
8,13.7,7,"Cool, Neutral Stream with High Oxygen"
8,21,7,"Hot, Neutral Pond with High Oxygen"
10,10.4,7,"Cool, Neutral Stream with High Oxygen"
7,23,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6.5,22.4,6.9,"Tropical, Neutral Lake with Moderate Oxygen"
9,12,7.2,"Cool, Neutral Stream with High Oxygen"
7,6.1,7.2,"Cold, Neutral River with Moderate Oxygen"
6,21.6,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
6.9,7,7,"Cold, Neutral River with Moderate Oxygen"
6,22.3,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
9,11,7.1,"Cool, Neutral Stream with High Oxygen"
7,7.9,6.6,"Cold, Neutral River with Moderate Oxygen"
8,13,6.9,"Cool, Neutral Stream with High Oxygen"
9,13,6.8,"Cool, Neutral Stream with High Oxygen"
7,5.3,6.9,"Cold, Neutral River with Moderate Oxygen"
8,13.1,6.8,"Cool, Neutral Stream with High Oxygen"
6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
9,13,7.3,"Cool, Neutral Stream with High Oxygen"
9,10,7.3,"Cool, Neutral Stream with High Oxygen"
8,20,7,"Hot, Neutral Pond with High Oxygen"
6.5,8.9,7,"Cold, Neutral River with Moderate Oxygen"
6.5,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
8,22,7,"Hot, Neutral Pond with High Oxygen"
10,15,7,"Cool, Neutral Stream with High Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
9,13,7,"Cool, Neutral Stream with High Oxygen"
10.5,16.2,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10,11.4,7.5,"Cool, Neutral Stream with High Oxygen"
8.4,14.8,7,"Cool, Neutral Stream with High Oxygen"
10,11,7,"Cool, Neutral Stream with High Oxygen"
8.8,12,7,"Cool, Neutral Stream with High Oxygen"
8.6,25,7,"Hot, Neutral Pond with High Oxygen"
7.4,23,7,"Hot, Neutral Pond with High Oxygen"
10.8,12,7,"Cool, Neutral Stream with High Oxygen"
9.2,15,7,"Cool, Neutral Stream with High Oxygen"
10.5,13,7,"Cool, Neutral Stream with High Oxygen"
11.4,15,7,"Cool, Neutral Stream with High Oxygen"
9.6,13,7,"Cool, Neutral Stream with High Oxygen"
11.3,10,7,"Cool, Neutral Stream with High Oxygen"
10.2,11,7,"Cool, Neutral Stream with High Oxygen"
9.2,24,7,"Hot, Neutral Pond with High Oxygen"
5.6,9.8,7,"Cold, Neutral River with Moderate Oxygen"
9,10,7,"Cool, Neutral Stream with High Oxygen"
2.3,19.7,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.9,10,7.5,"Cool, Neutral Stream with High Oxygen"
4.4,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
4,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.2,26.7,7,"Tropical, Neutral Lake with Moderate Oxygen"
8.1,14.7,7,"Cool, Neutral Stream with High Oxygen"
4.2,12.7,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.8,10.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.6,11,7,"Cool, Neutral Stream with High Oxygen"
4,13.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.8,7.7,7,"Cold, Neutral River with Moderate Oxygen"
12,10,7,"Cool, Neutral Stream with High Oxygen"
4,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
12,11,7,"Cool, Neutral Stream with High Oxygen"
11,11,7,"Cool, Neutral Stream with High Oxygen"
12,10,7,"Cool, Neutral Stream with High Oxygen"
10,15,7.5,"Cool, Neutral Stream with High Oxygen"
9.3,15,7,"Cool, Neutral Stream with High Oxygen"
7.3,23,7,"Hot, Neutral Pond with High Oxygen"
8.8,12,7.5,"Cool, Neutral Stream with High Oxygen"
6.8,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,23,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,25,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
10,14,6.8,"Cool, Neutral Stream with High Oxygen"
11,11,6.8,"Cool, Neutral Stream with High Oxygen"
7,24,7,"Tropical, Neutral Lake with Moderate Oxygen"
9,23,7.2,"Hot, Neutral Pond with High Oxygen"
6,25,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
7,24,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
9,24,7.2,"Hot, Neutral Pond with High Oxygen"
7,24,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
7,24,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
8,23,7.2,"Hot, Neutral Pond with High Oxygen"
8,24,7.2,"Hot, Neutral Pond with High Oxygen"
10,13,6.8,"Cool, Neutral Stream with High Oxygen"
9.7,14.1,7.3,"Cool, Neutral Stream with High Oxygen"
9,11,7.2,"Cool, Neutral Stream with High Oxygen"
7,24,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
3,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9,12,6.8,"Cool, Neutral Stream with High Oxygen"
8,21,7.2,"Hot, Neutral Pond with High Oxygen"
8,10,6.8,"Cool, Neutral Stream with High Oxygen"
10,15,6.8,"Cool, Neutral Stream with High Oxygen"
11,12,6.8,"Cool, Neutral Stream with High Oxygen"
11,12,6.8,"Cool, Neutral Stream with High Oxygen"
10,14,6.8,"Cool, Neutral Stream with High Oxygen"
7,24,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
9,20,7.2,"Hot, Neutral Pond with High Oxygen"
8,22,7.2,"Hot, Neutral Pond with High Oxygen"
7,23,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,24,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
4,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,18,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,18,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,19,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,8,7,"Cold, Neutral River with Moderate Oxygen"
4,11,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,12,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,18,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,22,6.5,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
3,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,14,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,12,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,14,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,10.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.2,11,5.7,"Cool, Acidic River with Moderate Oxygen"
4,24,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.3,20,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4.5,12.3,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,24,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.1,5,7,"Cold, Neutral River with Moderate Oxygen"
4,20,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,12,6,"Cool, Acidic River with Moderate Oxygen"
5,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.5,12.3,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.2,11,5.7,"Cool, Acidic River with Moderate Oxygen"
5,7.5,7,"Cold, Neutral River with Moderate Oxygen"
4.7,20,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.5,23,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.5,22.5,7,"Tropical, Neutral Lake with Moderate Oxygen"
5.2,5,6.6,"Cold, Neutral River with Moderate Oxygen"
4.3,20,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5,22,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.1,5,7,"Cold, Neutral River with Moderate Oxygen"
5,8,6,"Cool, Acidic River with Moderate Oxygen"
5,7,6.6,"Cold, Neutral River with Moderate Oxygen"
6.5,24.3,6.9,"Tropical, Neutral Lake with Moderate Oxygen"
7,22,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
6,26,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
7,22.3,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
10,13.6,7.4,"Cool, Neutral Stream with High Oxygen"
8,23.2,7.1,"Hot, Neutral Pond with High Oxygen"
7,25.5,6.9,"Tropical, Neutral Lake with Moderate Oxygen"
9,22.5,7.1,"Hot, Neutral Pond with High Oxygen"
10,11.5,7.1,"Cool, Neutral Stream with High Oxygen"
10,13.8,7.5,"Cool, Neutral Stream with High Oxygen"
10,11.7,7.1,"Cool, Neutral Stream with High Oxygen"
8,15,7.2,"Cool, Neutral Stream with High Oxygen"
10,10.4,7.2,"Cool, Neutral Stream with High Oxygen"
8,24.5,6.8,"Hot, Neutral Pond with High Oxygen"
10,12.8,7.5,"Cool, Neutral Stream with High Oxygen"
10,11.3,7.1,"Cool, Neutral Stream with High Oxygen"
6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
10,11.6,7.2,"Cool, Neutral Stream with High Oxygen"
9,14.5,7.4,"Cool, Neutral Stream with High Oxygen"
7,22.2,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
10,12.3,7.2,"Cool, Neutral Stream with High Oxygen"
10,23.9,7,"Hot, Neutral Pond with High Oxygen"
10,13.5,7.5,"Cool, Neutral Stream with High Oxygen"
10,12.9,7.2,"Cool, Neutral Stream with High Oxygen"
10,14.3,7.4,"Cool, Neutral Stream with High Oxygen"
9,20.5,7.1,"Hot, Neutral Pond with High Oxygen"
9,13.2,7.5,"Cool, Neutral Stream with High Oxygen"
9,13,7.3,"Cool, Neutral Stream with High Oxygen"
10,11.9,7.3,"Cool, Neutral Stream with High Oxygen"
8,25.2,6.8,"Hot, Neutral Pond with High Oxygen"
7,25.2,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
8,13.1,6.8,"Cool, Neutral Stream with High Oxygen"
8,13.5,7.1,"Cool, Neutral Stream with High Oxygen"
4,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,27,7,"Tropical, Neutral Lake with Moderate Oxygen"
7,28,7,"Tropical, Neutral Lake with Moderate Oxygen"
4,10,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
